"","NAME","Y","X"
"4564","West Linksness",1003913,324030
"4565","East Linksness",1003910,324262
"4659","Flaga",1003818,321271
"6130","Bay of Houton",1003692,331692
"4665","Garson",1003627,324305
"4693","Round Hill",1003604,322063
"4643","Green Hamars",1003525,321544
"4771","Engefield",1003410,323741
"3756","Tongue of Gangsta",1003409,345375
"3528","Gangsta",1003369,345527
"4656","Back Saddles",1003263,320264
"4560","Hoy",1003227,323275
"3529","Hanga",1003194,345642
"4696","Glen of Greor",1003108,322490
"2966","St. Johns Head",1003089,318390
"4637","Sui Fea",1003069,319096
"3520","Quoy Ribs",1003006,345744
"4677","Glen of the Horn",1003005,323119
"4777","Tuifea",1002900,324047
"3521","White Sark",1002884,345813
"4654","Hendrys Holes",1002785,318618
"4780","Newstead",1002752,324189
"4667","Leaden Geo",1002647,318667
"4772","Segal",1002586,320267
"13227","Holm",1002398,349209
"3757","Tongue of Westerbister",1002315,345976
"4779","Smerr Dale",1002300,319654
"4789","Quoyawa",1002287,323433
"4655","Deep Dale",1002186,324834
"4786","High Fea",1001991,320071
"4662","Howes of Quoyawa",1001952,323496
"4680","Haist",1001947,323711
"4687","White Glen",1001936,324078
"4676","The Bring",1001786,327170
"4641","Geo of the Sow",1001744,318383
"4674","Suifea Lochs",1001682,319076
"3523","Taing of Westbank",1001605,346159
"4769","Red Glen",1001527,321805
"4690","Langi Fea",1001500,325398
"3524","Valhalla",1001379,346818
"4645","Glens of Kinnaird",1001341,320995
"857","St Marys",1001328,347351
"4692","Nowt",1001246,323237
"4640","Burandie",1001204,325972
"4788","Grut Fea",1001200,319835
"4649","Stours Kinora",1001150,318395
"3522","Crow Taing",1001103,346166
"4776","Glens of Broadiface",1001005,320492
"4661","Red Glen",1001004,325460
"3751","Clett",1000956,346330
"4672","Scarsa",1000928,318090
"3752","Clads Ber",1000881,346379
"3753","Hesti Geo",1000846,346423
"3754","Musie Geo",1000718,346454
"4650","The Stour",1000708,318265
"4652","Tuaks of the Boy",1000672,317873
"3539","Couse Point",1000629,349096
"4773","Broadi Face",1000595,320715
"3682","Ber of Twitha",1000507,332452
"3677","Calf of Cava",1000495,332269
"4657","Kingie Lang",1000479,326600
"4663","Dwarfie Hamars",1000412,325179
"4688","Runnarto",1000407,318005
"4778","Clay Mire",1000403,320251
"8244","The Ayre",1000335,332343
"4774","Clicknafea",1000234,319561
"4632","Bracken Cap",1000095,328203
"4673","Geo of the Light",1000090,317622
"3540","Kirk Point",1000011,348140
"4775","Moor Fea",999988,319110
"4685","Vow Randie",999843,326322
"8241","Cava Lodge",999827,332548
"4694","Deep Dale",999749,329603
"8242","North House",999680,332350
"4631","Stany Hamars",999663,322843
"4698","Lyrawa Hill",999573,328536
"4635","Moss of the Whitestanes",999516,320672
"4644","Sandy Geo",999501,317439
"3678","Moi Geo",999444,333424
"2967","Rackwick",999414,319662
"3674","Muckle House",999370,332510
"8258","Rackwick",999354,320301
"3679","Point of Tuberry",999343,333433
"3681","Taing Head",999337,332389
"4634","Green Head",999307,330292
"4664","Rora Head",999214,317372
"8243","South House",999176,332734
"4670","Glifters of Lyrawa",999168,326315
"4648","Enegras",999020,318854
"4682","Too of the Head",998856,319156
"3680","Point of Ward",998849,332662
"2931","Burray Haas",998784,349195
"3676","Tanker Mooring Point",998715,336877
"3675","Tanker Mooring Point",998564,335379
"4638","Pegal Hill",998178,328874
"3663","Pegal Head",998055,330225
"2929","Northtown",997758,347846
"4566","Rievie Hill",997736,323800
"3661","Rysa Sound",997725,330557
"3702","Deregar",997705,326924
"3662","Pegal Bay",997662,330145
"3701","North Dale",997375,326980
"2932","Echnaloch Bay",997272,346966
"3653","North Point",997238,332609
"2927","Sunless Geo",997206,343935
"3700","Shell Hill",997180,328576
"3652","Whiting Point",996906,333236
"3669","Grice Geo",996905,338470
"3694","Whitefowl Hill",996870,321860
"3703","Bailie Fea",996857,326789
"3650","Whitingpoint",996823,332874
"3644","Peat Point",996748,332219
"3645","Peat Bay",996645,332234
"3658","North House",996508,332377
"3651","Fall Sand",996439,333057
"3670","Calf Sound",996428,338163
"3656","Netherhouse",996412,332796
"3657","Newcot",996411,332609
"2930","Burray Ness",996404,350520
"3649","Park",996297,332206
"3693","Red Hill of Sneuk",996248,323676
"3673","Tween the Wicks",996030,338638
"3654","Upper Quoy",995976,332707
"2928","Southtown",995963,348475
"3573","Roan Head",995963,338224
